project_id,title,author,views,loves,favorites,comments,remix_count,theme,source,love_rate,favorite_rate,remix_rate,engagement_score,number_of_sprites,number_of_blocks,number_of_scripts,scripts_per_sprite,broadcasts,clones,custom_blocks,advanced_feature_count,complexity_score
421995031,Platformer Tutorial!!!!!,TheCactusMaster,26571,1650,1561,0,0,tutorial,scratch_search_popular,0.0620977757705769,0.0587482593805276,0.0,0.0421286364833841,3,248,7,2.333333333333333,0,0,4,4,444.6666666666667
444815084,Pillow - an animation,PepinoPusheen,82439,5683,4269,0,0,animation,scratch_search_popular,0.0689358192117808,0.0517837431312849,0.0,0.0413942430160482,13,357,28,2.1538461538461537,33,0,0,33,1520.076923076923
415195296,OC tutorial !,savage_harv8,58855,3860,3089,0,0,tutorial,scratch_search_popular,0.0655849120720414,0.0524849205674963,0.0,0.0406694418486109,2,22,7,3.5,2,0,0,2,172.0
313307271,Owl Flight Animation,PygmyFalcon,62637,4231,2972,0,0,animation,scratch_search_popular,0.0675479349266408,0.0474479939971582,0.0,0.0392435780768555,1,21,2,2.0,0,0,0,0,71.0
885077773,Bird Animation,Birdsaresocute,43969,2962,2027,0,0,animation,scratch_search_popular,0.0673656439764379,0.0461006618299256,0.0,0.0386499579249016,2,10,3,1.5,0,0,0,0,60.0
389603136,- Platformer Tutorial -,-LilWolfy-,25804,1578,1306,0,0,tutorial,scratch_search_popular,0.0611533095644086,0.050612308169276,0.0,0.038590916137033,6,133,14,2.333333333333333,6,0,0,6,419.6666666666667
340042024,Home Kingdom | Music,Rosyda,39537,2455,1740,0,0,music,scratch_search_popular,0.0620937349824215,0.0440094089081113,0.0,0.036231884057971,6,386,30,5.0,10,11,10,31,1476.0
439498257,◁ Eye Tutorial ▷,-livii-,77265,4064,2745,0,0,tutorial,scratch_search_popular,0.0525982009965702,0.0355270821199767,0.0,0.0299902931469617,2,63,12,6.0,9,0,0,9,473.0
204967236,Interactive story,pinkant123,31937,1578,1197,0,0,story,scratch_search_popular,0.0494097754955067,0.0374800388264395,0.0,0.0298149481792278,2,81,5,2.5,4,0,0,4,271.0
391914089,Thumbnail Tutorial!,-BoyMcBoy-,32512,1468,1254,0,0,tutorial,scratch_search_popular,0.0451525590551181,0.038570374015748,0.0,0.0289739173228346,1,7,1,1.0,0,0,0,0,37.0
268257007,What Teachers See 6 (Music) ,DerpAnimation,352573,16050,13401,0,0,music,scratch_search_popular,0.0455224875415871,0.0380091498781812,0.0,0.0288604062137486,5,326,17,3.4,14,6,0,20,1044.0
391890547,Basically: Anime - Animation,Mallonations,88898,3998,3143,0,0,animation,scratch_search_popular,0.0449728902787464,0.0353551260995747,0.0,0.0276339175234538,3,77,6,2.0,4,0,0,4,267.0
484078902,E.T. End Credits | Piano Music | v1.0,griffpatch,227040,9742,7979,0,0,music,scratch_search_popular,0.0429087385482734,0.0351435870331219,0.0,0.0269300563777308,3,297,14,4.666666666666667,3,6,8,17,930.3333333333334
880566119,Skittles...        | #all #animations #music,scratchhaus,272606,10867,9981,0,0,music,scratch_search_popular,0.039863392588571,0.036613280705487,0.0,0.0266043300587661,4,165,14,3.5,4,0,16,20,875.0
376903068,|| Motion-Capture Tutorial ||,warrior1785,54790,2368,1859,0,0,tutorial,scratch_search_popular,0.0432195656141631,0.0339295491878079,0.0,0.0265376893593721,3,131,19,6.333333333333333,12,0,0,12,647.6666666666666
799390683,MinecraftClicker ver1.8#game#games#all#Story,-TNTOP,93615,3677,3442,0,0,story,scratch_search_popular,0.0392778934999732,0.0367676120279869,0.0,0.0264904128611867,21,344,64,3.0476190476190474,34,3,3,40,1814.952380952381
